age(year),Gender(M/F),Pre. Ob suture real pt(yes/no),baseline confidence real pt,post-OSCE confidence real pt,% increase confidence,basic interest for surgery,in-training TP socore,post-bock OSCE TP
30,M,yes,2.7,3.6,33,2,60,83
26,F,no,2.4,3.6,50,2.2,67,85
27,F,no,2.6,2.9,12,2.3,76,75
28,M,yes,2.8,3.9,39,4,65,79
29,F,no,2.3,3.1,35,4.1,66,78
31,M,no,2.6,3.2,23,3.8,64,91
27,M,yes,3,3.9,30,3.9,69,84
28,M,no,2.8,3.1,11,3.4,70,73
26,F,no,2.7,3.8,41,2.3,67,88
38,M,yes,2.6,3.2,23,2.4,72,73
29,F,yes,2.5,3.6,44,2.5,73,83
27,M,no,2.7,4.1,52,3.7,65,70
28,F,no,2.5,3.2,28,3.9,64,75
25,F,yes,2.7,3.1,15,2.3,68,74
27,M,no,2.3,2.8,22,2.6,71,71
28,F,yes,2.4,3.4,42,3.4,70,72
26,F,no,3.1,4,29,2.7,63,75
25,M,yes,2.5,3.8,52,1.9,68,73
30,F,no,2.6,2.9,12,3.2,77,71
31,M,yes,2.2,3.3,50,2.1,72,72
24,F,yes,3.2,3.8,19,2.2,68,90
25,M,no,2.1,3,43,2.3,79,83
42,F,no,2.6,2.9,12,2.4,70,87
28,M,yes,2.9,3.8,31,2.2,66,102
